recency,sk_reads,section_breaking,section_live,number_of_comments,sk_live_traffic,sport_rank,event_rank,author_rank,type_rank,personal_score
"115 / 140","6.3150225189548 / 20","0 / 50","0 / 100","0 / 20","36.59305710023 / 100",,,,,
"115 / 140","3.0584108968854 / 20","0 / 50","0 / 100","0 / 20","33.61975406799 / 100",,,,,
"115 / 140","2.0868413785105 / 20","0 / 50","0 / 100","0 / 20","28.844991406148 / 100",,,,,
"115 / 140","2.9521290768392 / 20","0 / 50","0 / 100","0 / 20","27.589241763811 / 100",,,,,
"95 / 140","9.8110662164622 / 20","0 / 50","0 / 100","0 / 20","34.760266448864 / 100",,,,,
"115 / 140","2.2873916259485 / 20","0 / 50","0 / 100","0 / 20","19.129311827724 / 100",,,,,
"115 / 140","2.1760487301659 / 20","0 / 50","0 / 100","0 / 20","18.171205928321 / 100",,,,,
"115 / 140","2.0720405869521 / 20","0 / 50","0 / 100","0 / 20","18.171205928321 / 100",,,,,
"115 / 140","1.9892759333074 / 20","0 / 50","0 / 100","0 / 20","18.171205928321 / 100",,,,,
"115 / 140","1.8870775921266 / 20","0 / 50","0 / 100","0 / 20","18.171205928321 / 100",,,,,
"115 / 140","2.1110528351616 / 20","0 / 50","0 / 100","0 / 20","17.099759466767 / 100",,,,,
"95 / 140","4.1026752320325 / 20","0 / 50","0 / 100","0 / 20","33.912114430142 / 100",,,,,
"95 / 140","7.3531000235488 / 20","0 / 50","0 / 100","0 / 20","30.365889718757 / 100",,,,,
"95 / 140","7.3974181399561 / 20","0 / 50","0 / 100","0 / 20","29.624960684074 / 100",,,,,
"95 / 140","4.4230198509431 / 20","0 / 50","0 / 100","0 / 20","32.075343299958 / 100",,,,,
"115 / 140","1.7925618986229 / 20","0 / 50","0 / 100","0 / 20","14.422495703074 / 100",,,,,
"115 / 140","2.6506821549907 / 20","0 / 50","0 / 100","0 / 20","12.599210498949 / 100",,,,,
"115 / 140","2.1440433643861 / 20","0 / 50","0 / 100","0 / 20","12.599210498949 / 100",,,,,
"115 / 140","0 / 20","0 / 50","0 / 100","0 / 20","12.599210498949 / 100",,,,,
"115 / 140","1.5831566438722 / 20","0 / 50","0 / 100","0 / 20","10 / 100",,,,,
